article,content
NY-T 11,how biden could try to coerce israel to change its war strategy
NY-T 12,israel rescue hostage in assault that kill score of gazan israel hamaswar advertisement support by the news be meet with jubilation in israel where tension over the hostage safety have be rise in recent month byaaron boxerman raja abdulrahimandsteve lohr israeli soldier and special operation police rescue hostage from gaza on saturday amid a heavy air and ground assault and fly they back to israel by helicopter to be reunite with their family the news be meet with jubilation in israel where anxiety over the fate of the roughly remain captive have be rise after month of war resident in the town of nuseirat where the hostage be be hold report intense bombardment during the rescue operation khalil al daqran an official at a hospital in the city tell reporter that score of palestinians have be kill and that the hospital  ward and corridor be pack with the wound rear adm daniel hagari the israeli military spokesman tell reporter the rescue mission take place around a m saturday when force locate the hostage in separate building where they be be hold by hamas militant he say the israeli force come under fire but manage to extract the hostage in helicopter special force police officer die the freed hostage noa argamani almog meir jan andrey kozlov and shlomi ziv be kidnap by palestinian militant from the nova music festival during the hamas lead attack on oct when about people be kill in israel and take hostage israel say all be in good medical condition and be transfer to a hospital in israel for further examination the israeli authority say in a statement the fate of the hostage have be a source of intense political pressure on the israeli prime minister benjamin netanyahu amid the broad criticism that his government for its own reason be in no hurry to wind down the conflict or to address the issue of who should govern gaza after the war we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 13,before the eurovision final a pro palestinian march
NY-T 14,official condemn protest outside exhibit memorialize oct victim israel hamaswar advertisement support by anti israel demonstrator gather outside the exhibition in new york that honor people at a music festival in israel who be kill in the hamas attack bymarc tracy hundred of people protest against israel on monday night outside an exhibition in low manhattan that commemorate the more than people who be kill by hamas on oct at a rave in southern israel prompt strong condemnation from public official the location of the demonstration outside an exhibition feature portrait of the people kill at the tribe of novatrance music festival along with car that be char in the attack and the personal belonging that some music fan leave behind be widely criticize from the city government to washington mayor eric adams of new york visit the exhibition on tuesday and call the protest despicable and andrew bates a white house spokesman say in a statement tuesday the event at yesterday  memorial to those murder at the nova music festival be outrageous and heartbreaking of the exhibition  american organizer scooter braun a powerful music executive who be instrumental in the rise of justin bieber say on tuesday that the exhibition october am the moment music stand still have be extend a week until june for those who choose to protest against innocent music lover who be murder we will dance again mr braun the chief executive of the music conglomerate hybe america say in a statement the protester gather monday evening step away from the new york stock exchange building in low manhattan light flare and repeat shout include long live the intifada and israel go to hell accord tovideo post to social medium we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 15,court delay trump  georgia case and u n warn of climate hell for more audio journalism and storytelling download new york times audio a new ios app available for news subscriber host bytracy mumford featuringmatina stevis gridneff produce byian stewartanddavis land edit byjessica metzgerandtracy mumford on today  episode georgia appeal court stay most proceeding in trump election case by richard fausset inside the base where israel have detain thousand of gazan by patrick kingsley and bilal shbair european union election what to know by matina stevis gridneff and monika pronczuk u n chief warn of miss a key climate target by raymond zhong boeing carry nasa astronaut to orbit in milestone starliner flight by kenneth chang tune in and tell we what you think attheheadline nytime com for correction emailnytnew nytime com for more audio journalism and storytelling downloadthe new york times audio app available to time news subscriber on io andsign upfor our weekly newsletter matina stevis gridneffis the brussels bureau chief for the time lead coverage of the european union more about matina stevis gridneff advertisement
NY-T 16,columbia  president tell congress that action be need against antisemitism
NY-T 17,sweden and canada to restart payment to u n agency for palestinians
NY-T 18,aid worker kill in gaza be know for a passion for help other
NY-T 19,ukraine aid bill clear critical hurdle in the house as democrats supply the vote
NY-T 20,dispute over conscription for ultra orthodox jews present new threat to netanyahu
NY-T 21,house vote to impose sanction on I c c official over israel prosecution advertisement support by the republican write bill which the white house strongly oppose stand little chance of become law after lawmaker fail to reach a bipartisan deal on penalize measure byrobert jimison report from the capitol the house vote mostly along party line on tuesday to impose sweeping sanction on official at the international criminal court in a rebuke of effort by the court  top prosecutor tocharge top israeli leaderswith war crime in connection with the offensive against hamas the bill would compel president biden to restrict entry into the united states revoke visa and impose financial restriction on anyone at the court involve in try to investigate arrest detain or prosecute protect person or ally of the united states it would also target anyone who provide financial material or technological support to those effort mr biden  adviser say he be strongly opposed to the measure because it would impose sanction on such a broad swath of official include court staff member and any witness involve in a potential case but it reflect broad bipartisan anger in washington after the court  top prosecutor announce late last month that he wouldseek charge against both israeli and hamas leader the g o p write bill pass by a vote of to with republican vote present and democrats cross party line in support representative chip roy republican of texas and the author of the bill say it be a necessary step to stop the international court from act beyond its jurisdiction and to address fear that action take against israeli official could be a prelude to action against american official what happen here be go to be come at we and our country mr roy say on tuesday that be why it be important to speak with voice with authority with force we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 22,iran seize commercial ship link to israel
NY-T 23,britain  leader condemn iran  attack but urge israel to show restraint
NY-T 24,over air reservist threaten to stop serve as israel  political crisis grow
NY-T 25,mama mama israeli strike set off chaos at gazan hospital israel hamaswar advertisement al aqsa martyrs hospital inundate by a rapidly rise casualty count be so full that the crowd themselves be hamper treatment bybilal shbairanderika solomon bilal shbair report from central gaza as dawn break on thursday haitham abu ammar comb through the rubble of the school that have become a shelter to he and thousand of other displace gazan for hour he help people piece together the limb of the one they love the most painful thing I have ever experience be pick up those piece of flesh with my hand say mr abu ammar a year old construction worker I never think I would have to do such a thing early on thursday israeli airstrike hit the school complex kill dozen of people among they at least militant the israeli military say over the course of the day corpse and mangle limb recover from the rubble be wrap in blanket stack in truck bed and drive to al aqsa martyrs hospital the last major medical facility still operate in central gaza israel  military describe the airstrike as painstakingly plan rear adm daniel hagari tell reporter that israeli force have track the militant in the school turn shelter for day before open fire the israeli military and the shin bet find a solution to separate the terrorist from those seek shelter he say we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 26,israel and hezbollah trade fire with death report on both side
NY-T 27,what we know about columbia university  president nemat shafik
NY-T 28,pro palestinian rally become mass subway ride to confront kathy hochul
NY-T 29,gaza  shadow death toll body bury beneath the rubble
NY-T 30,after week of planning second make the difference in israel  hostage rescue israel hamaswar advertisement support by when a truck carry of rescue hostage break down and come under fire israel say it call in an airstrike score of palestinians be kill gazan official say bybilal shbairandronen bergman bilal shbair report from nuseirat in the gaza strip and ronen bergman from tel aviv when the israelis wake up in gaza on saturday they have be heldhostage by hamas for day the building in which they be be keep low rise concrete apartment block look much like the other nearby residence in a civilian neighborhood full of palestinian family within a few hour the captive man and woman would be reunite with their own family the result of a risky long plan rescue operation in which the full might of the israeli military would be use to devastating effect I be so emotional hostage noa argamani tell prime minister benjamin netanyahu of israel in a phone call after her release it be be so long since I hear hebrew the rescue effort in nuseirat involve hundred of intelligence officer and team of commando who simultaneously storm the home in which the hostage be be hold the israeli military say in apartment where the male hostage be imprison a firefight break out between the soldier and the hamas guard accord to the military and video footage it release of the encounter later and under a hail of gunfire the truck in which hostage and a wounded israeli officer be be evacuate break down and be surround by militant israeli official say in an effort to give the rescuer enough time and ample cover to get the captive to freedom the military say the air force begin strike dozen of nearby target many palestinians become aware of the fighting only when they hear bomb explode we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 31,a look at the previous u n cease fire resolution the u s veto
NY-T 32,as irish leader visit u s shamrock camaraderie be strain by gaza war
NY-T 33,israeli force cut off access to kamal adwan hospital in northern gaza israel hamaswar advertisement israeli bombardment and raid have put many of gaza  hospital out of operation and only a few remain even partially functional byraja abdulrahim israeli force mass at the entrance to a major hospital in the northern gaza strip on friday trap more than a dozen medical personnel inside and all but put of the last functioning hospital out of operation accord to a doctor and palestinian news medium for day the israeli military have bombard the area around kamal adwan hospital in beit lahia near the northernmost edge of the territory its advance with tank toward the northern entrance cut off access to the hospital accord to dr eid sabbah the head of nursing at the hospital now it be consider practically because it be besiege not operational say dr sabbah who have be at the hospital on thursday many patient be receive kidney dialysis on thursday he say but they also leave before the military cut off access the military have reach the entrance he say the blockade of kamal adwan come day after the israeli military order patient and staff atal awda hospitalnearjabaliya another major medical center in northern gaza to evacuate on wednesday and then raid the complex about people remain there include medical staff and patient in critical condition who could not be transfer israeli force destroy door and damage equipment gazan official say the israeli military have repeatedly besiege and assaulted gaza  hospital contend that hamas the armed group that lead the oct attack on israel use they as shield with its fighter operate within the hospital and from tunnel beneath they hamas and hospital administrator have deny the claim the israeli military have take journalist on tour of hospital it raid and provide document it say prove its claim about hamas and hospital but there have be no independent verification of the claim we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 34,israeli settler kill palestinian man in the west bank official say
NY-T 35,fear grow that syria strike could spur retaliatory attack on israel and u s
NY-T 36,israel  parliament revive bill on draft ultra orthodox man into military israel hamaswar advertisement the vote be aim at keep the divisive issue in the hand of legislator instead of judge who have repeatedly determine that an exemption should not stand byephrat livni israel  parliament on tuesday vote to revive a bill that would enable ultra orthodox man to be draft into the military a divisive issue that have become especially contentious since the war in gaza begin last october the vote which pass be a procedural step aim at keep the hot button issue in the hand of legislator instead of judge who have repeatedly determine thatthe exemption date to the founding of israel should not stand many secular israelis have long lament the draft exemption for the most religious member of society the issue have take new prominence since the hamas lead attack in israel on oct set off a war that have prompt repeat call up of reserve soldier the bill which revive a proposal make in would limit the exemption for young ultra orthodox man enrol in religious study establish recruitment quota for they and provide alternative service option among other change some critic contend however that the proposal would not significantly increase military service among the ultra orthodox know in hebrew as haredim the bill be advance in may by prime minister benjamin netanyahu in an apparent effort to deter israel  supreme court from take the lead on the matter the justice be currently consider whether the government must immediately begin draft the ultra orthodox follow the expiration of a law last year that be temporarily extend and have expire again the vote on tuesday be widely see as intend to send a signal to the court that the knesset be address the issue the court order the government to address it long ago but year of legislative effort have fail to produce meaningful change we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 37,critic fault aggressive n y p d response to pro palestinian rally
NY-T 38,new u k extremism policy raise concern over free speech
NY-T 39,fight rage around gaza hospital as pressure on israel rise
NY-T 40,u s conduct airdrop but will not use troop on the ground in aid effort israel hamaswar advertisement u s air force cargo plane drop ready to eat meal in a joint operation with the jordanian air force but a pentagon spokesman say be no plan to put u s force on the ground byhelene cooper the united states make a round of airdrop of humanitarian aid into the gaza strip on tuesday as the biden administration continue its effort to prevent a great humanitarian disaster in the palestinian territory u s air force cargo plane drop ready to eat meal in a joint operation with the jordanian air force to provide essential relief to civilian affect by the ongoing conflict u s central command say in a statement on tuesday it say that army troop train in aerial delivery be part of the airdrop and that it be plan more such mission however the pentagon say on tuesday that the united states do not intend to send its troop into gaza to strengthen the aid distribution process at this time there be no plan to put u s force on the ground in gaza maj gen patrick ryder a pentagon spokesman say at a news conference some aid expert and humanitarian group have criticize the american airdrop as insufficient and largely symbolic give the scale of the hunger problem face gaza after month of war cargo plane can only move a fraction of the food a convoy of truck can deliver expert say and a well solution would be for the united states to persuade israel to open more border crossing and speed up inspection the operation on tuesday follow a round of airdrop on saturday day aftermore than palestinians be killedas israeli force open fire around a convoy of aid truck in northern gaza doctor at gaza hospital say most of the casualty be from gunfire the israeli military say most of the victim be trample as they try to seize the cargo although israeli official acknowledge that troop have fire on some people who they say have threaten they after the convoy killing president biden say the united states would find new way to get aid to palestinians in desperate need because of israel  month military campaign to destroy hamas only atrickle of aidhas be reach northern gaza via land but aid group have criticize airdrop asineffective the amount of aid deliver by a french plane in anairdroplast week be much less than a single truckload although mr biden have implore israel which have largely seal its border with gaza to clear the way for more aid delivery the demand for food water and medicine there remain huge those condition have put mr biden under political pressure to do more to help the palestinians even as the united states supply israel with military hardware despite his frustration with israel  political leadership mr biden have not threaten to put limit on american military aid to the country helene cooperis a pentagon correspondent she be previously an editor diplomatic correspondent and white house correspondent more about helene cooper advertisement
NY-T 41,ocasio cortez in house speech accuse israel of genocide
NY-T 42,gazan describe search for food and wonder if it will get bad
NY-T 43,brooklyn protest raise doubt about n y p d commitment to new tactic advertisement support by violent response to pro palestinian activist follow a sweeping agreement aim at strike an equilibrium between preserve public safety and the right of protester bymaria cramer last september the new york police departmentsigne a sweeping agreement in federal courtthat be mean to end overwhelming response to protest that often lead to violent clash large scale arrest and expensive civil right lawsuit the sight of hundred of officer in tactical gearmoving in on pro palestinian demonstrator in bay ridge brooklyn on saturdaysuggeste to civil libertarian that the department might not abide by the agreement when it be fully implement at least officer wear the white shirt of commander be film punch protester who be prone in the middle of a crosswalk and film clip of recent campus protest show some officer push and drag student a handful of whom later say they have be injure by the police though many officer appear to show restraint during the arrest I think member of the public be very concerned that the police will be unwilling or unable to meet their end of the bargain say jennvine wong a staff attorney with legal aid which along with the new york civil liberties union file a lawsuit against the city over the department  response to protest in afterthe killing of george floyd that lawsuit be later combine with a complaint file by letitia james the state attorney general over what she call widespread abuse during the black life matter protest last fall police official and ms james reach the agreement in federal court intend to strike a new equilibrium between the department  need to preserve public safety and the right of protester the city along with major police union agree to develop policy and training that would teach the department to respond gradually to demonstration rather than send in large number of officer immediately and to emphasize de escalation over an immediate show of force the implementation be expect to take year we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 44,israeli response to iran attack seem inevitable despite ally plea
NY-T 45,we be not a banana republic netanyahu say reject criticism from u s
NY-T 46,mcdonald  to buy back franchised outlet in israel after boycotts
NY-T 47,how the uncommitted effort to protest biden have spread in super tuesday state advertisement the campaign have be fragment organize with far less time and resource than michigan  operation byanjali huynh organizer in several super tuesday state be call on voter to oppose president biden at the ballot box over his stance on the war in israel and gaza build on momentum that begin last month in michigan more than michigandersvote uncommitted in the state  democratic primary after a group of young arab americans start a campaign encourage voter to protest mr biden  alliance with israel earn delegate to the democratic national convention inspire by the campaign pro palestinian group around the country start similar effort to push the president to call for a permanent cease fire in colorado a group of palestinian activist scramble to create a social medium campaign for the state  noncommitte delegate optionwhile michigan return be still come in last week in minnesota organizer knock on door and hold get out the vote event to promotethe uncommitted category with outreach to muslim somali americans and young voter and in massachusetts thousand of protestersat a rally in cambridgechante no preference the similar designate protest option the campaign have be fragment organize with far less time and resource than michigan  operation many be plan in a matter of day well after early voting have already begin and several organizer decline to articulate specific benchmark for what would constitute success on tuesday night beyond the goal of see mr biden move his position organizer in minnesota say they be aim for uncommitted vote a low target that be about double what the category receive in the democratic primary the other state also lack michigan  position in the broad backlash to mr biden  policy the state have a sizable arab american population for whom the issue have be particularly painful and ahead of the vote prominent democrat in the statewarne about the potentialfor political peril the uncommitted effort draw the backing of representative rashida tlaib a member of the group of liberal in the house know as the squad we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 48,university struggle as pro palestinian demonstration grow
NY-T 49,war in gaza present biden with challenge at home and abroad advertisement domestic and international anger over israel  response to the oct attack have complicated president biden  diplomatic and re election effort bymichael crowley nearly month since hamas militant attack and kill about people in israel president biden have be sweep into the result upheaval in the region as he prepare to address the nation he find himself navigate a wide middle east emergency with profound moral political and security implication for his presidency early sympathy for israel after the oct attack have give way to domestic and international anger over the suffering in gaza israel  subsequent military campaign to crush hamas have now kill more than palestinians accord to official in gaza with dire shortage of food water and medicine create a humanitarian crisis because israel  military heavily depend on american supply weapon and munition mr biden be under pressure at home and abroad to rein in israel and alleviate the suffering in gaza but despite increasingly adamant call for israel to do more to protect civilian and provide they with aid u s official say that be not happen even so mr biden have restrain his criticism of israel  right wing government and resist demand for restrict american aid to israel often remind the world that israel be brutally attack and have a right to self defense he have order airdrop of aid into gaza to supplement the limited truck convoy that enter the territory from israel but aid worker say those aerial supply will make little difference seek to do more mr biden will announce a plan for the united states to build a float pier off gaza that can receive more supply u s official say their good hope be to help broker a deal between israel and hamas to pause the fighting for several week allow for the release of israeli hostage hold by hama and enable a surge of humanitarian supply into the territory some u s official think that such a pause in combat could evolve into a long term cease fire talk among several nation to strike a deal have be underway for week and u s official say that israel have sign off on an offer but hamas have yet to agree we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 50,u s intercept dozen of iranian drone and missile aim at israel
NY-T 51,police again clear pro palestinian encampment at u s c
NY-T 52,top iranian commander be report kill in israeli strike in syria
NY-T 53,israel  spy chief return home as cease fire talk continue in qatar
NY-T 54,trump urge israel to finish up your war
NY-T 55,these issue be test the u s china thaw israel hamaswar advertisement support by secretary of state antony j blinken be in china this week as tension have rise over trade security russia  war on ukraine and the middle east crisis byana swanson david piersonandolivia wang ana swanson cover trade and the u s china relationship and be accompany mr blinken on his trip david pierson cover china  foreign policy and its influence in the world secretary of state antony j blinken be meet official in china this week as dispute over war trade technology and security be test the country effort to stabilize the relationship the united states be head into an election year in which president biden will face intense pressure to confront china  authoritarian government and offer new protection for american business and worker from low price chinese import china be court foreign investment to help its sluggish economy at the same time its leader xi jinping have be bolster national security and expand china  military footprint around taiwan and the south china sea in way that have alarm its neighbor mr biden and mr xi have hold talk to prevent their country dispute from spiral into conflict after relation sink to their low point in decade last year but an array of challenge could make steadying the relationship difficult the united states have be push back against china  increasingly assertive claim over swath of the south china sea and the self govern island of taiwan by build security alliance in asia that effort have promptedmore concern in beijing that the united states be lead a campaign to encircle china and contain its rise we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 56,condemnation slow but do not stall israel  assault on rafah israel hamaswar advertisement support by despite fierce criticism israel insist it must take control of rafah and the border with egypt to prevent future arm smuggling bysteven erlanger isabel kershnerandnatan odenheimer report from jerusalem despite an international court order to stop its assault on rafah israel say it will continue its operation try to walk a line between not anger its american ally too much while try to achieve strategic aim that it consider too important to abandon for now after many week of admonition from the white house both the israelis and the americans be characterize this as a limited operation allow the israelis to proceed though more slowly and cautiously than they have in other part of gaza but as the fighting push masse of panicked civilian toward area near the sea with inadequate housing or medical aid and the closing of the rafah border crossing dim hope for speedy delivery of humanitarian aid israel  critic abroad condemn the toll on civilian and be unconvince by what the israelis have call restraint on friday the international court of justiceordere israel to immediately halt its offensive in rafah say it endanger the civilian population there but do not call for a complete cease fire israel say it will not halt its military operation for israel take rafah and the border would effectively complete the reconqu of gaza and could mean a move to a different phase of low intensity raid rafah have in and under it the last relatively organized hamas battalion a major tunnel infrastructure and rocket launcher the israelis say more important israel want to try to seal the border with egypt to reduce the smuggling of weapon for the future the airstrike be continuous and intense and the smell of smoke do not leave the air say mohammad al masri an accountant who have be shelter in a tent in rafah for month at night they advance a few meter at a time and the people flee immediately we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 57,audio clip emerge of biden say he tell netanyahu a come to jesus meeting on gaza aid be near israel hamaswar advertisement the president be speak off the cuff to a lawmaker on the house chamber floor after deliver his state of the union address byerica l green reporting from washington president biden say on thursday that he and prime minister benjamin netanyahu of israel be head toward a come to jesus meeting over the humanitarian crisis in gaza accord to an audio clip of the president  remark post on social medium on friday mr biden  comment highlight the rise tension between he and mr netanyahu in recent week as the civilian death toll in gaza have rise inexorably and mr biden have come under political pressure at home and abroad to do more to compel israel to agree to a cease fire in recent day mr biden have express hope that at least a week cease fire deal would be in place by ramadan the muslim holy month that start in a few day but israel and hamas have reach an impasse in negotiation to recover vulnerable hostage take during the oct attack in israel in exchange for a permanent cease fire and the withdrawal of israeli troop from gaza on friday when ask by reporter if a deal could still be reach by ramadan mr biden say it be look tough the president  early come to jesus comment be capture on a hot microphone during what mr biden think be a private exchange with senator michael bennet democrat of colorado after the state of the union address accord to a recording of the conversation mr bennet encourage the president to keep push on the issue of humanitarian assistance to gaza as israel fight its war against hamas a war for which the united states have provide funding and weaponry we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
NY-T 58,everything be difficult the struggle for life  basic in rafah
NY-T 59,aid group in rafah say israel  advance be push they out israel hamaswar advertisement hospital clinic and kitchen be shut down and transport the wound be a challenge on road choke with debris and flee refugee byerika solomon israel  offensive in the southern city of rafah have strain medical and humanitarian service to the breaking point aid worker say with only hospital still function and several aid operation force to decamp to other part of the gaza strip the health care crisis in the city have be compound by the closure of emergency clinic and other service amid continue clash and strike that have kill dozen of civilian on sunday a strike that israel say be aim at a hamas compound set ablaze a camp for the displace in rafah kill people accord to the gazan health ministry another strike on tuesday in al mawasi on the outskirt of rafah kill people and injure dozen the ministry say among the aid operation that have shutter this week be a field hospital run by the palestinian red crescent a clinic support by doctor without border and kitchen run byworld central kitchen as israeli attack intensify on rafah the unpredictable trickle of aid into gaza have create a mirage of improve access while the humanitarian response be in reality on the verge of collapse aid group say in ajoint statementon tuesday some of the operation that be force to move be in al mawasi where many civilian and aid worker go because israel designate part of the area as a humanitarian safe zone israel  military say after the strike on tuesday that it have not fire on that zone video verify by the new york times indicate that the strike hit near but not inside the zone we be have trouble retrieve the article content please enable javascript in your browser setting thank you for your patience while we verify access if you be in reader mode please exit andlog intoyour times account orsubscribefor all of the time thank you for your patience while we verify access already a subscriber log in want all of the time subscribe advertisement
